Кол-во;Кол-во (100 устройств);Value;Цена (1 устройство);Стоимость (1 устр);Цена (100 устройств);Стоимость (100 устройств)
2;200;DIP переключатель (1 контакт);"1: 38.80
120: 31.04
240: 28.45";;;
1;;DIP переключатель (2 контакта);"1: 40.62
72: 32.50
216: 29.79";;;
1;;Микроконтроллер ESP-12E;121;;;
1;;Датчик MQ-4 в составе модуля FC-22;86;;;
1;;Датчик взвешенных частиц GP2Y1010AU0F;260;;;
3;;Конденцатор керамический 0,1мкФ;"1: 2.26
1000: 1.05
2000: 0.83";;;
1;;Конденсатор электролитический полярный 100мкФ;"8 
от 400 шт. — 5
от 4000 шт. — 3.50";;;
16;;Резистор 10КОм (MFR-12JT-52- 10K);"1: 1.42
1000: 0.53
5000: 0.39";;;
1;;Конденсатор электролитический полярный  10мкФ;"5 
от 400 шт. — 4
от 4000 шт. — 1.80";;;
1;;Резистор 150Ом (MFR-12FTF52- 150R);"1: 0.64
1000: 0.39
5000: 0.25";;;
1;;Кварцевый резонатор 16МГц (hc-49u);"15 
от 300 шт. — 10
от 3000 шт. — 7.50";;;
1;;Конденсатор электролитический полярный  220мкФ;"8
от 400 шт. — 5
от 4000 шт. — 3.20";;;
2;;Конденцатор керамический 22пФ;"1: 1.88
1000: 0.88
2000: 0.69";;;
1;;Микроконтроллер ATMEGA328P в DIP корпусе;"1: 150.15
14: 135.14
70: 127.05";;;
5;;MOSFET транзистр BSS138 (SOT23-3);"1: 3.16
500: 1.98
3000: 1.74";;;
1;;Модуль DfPlayer mini;207;;;
2;;Тактовая кнопка DTS-3;"от 1 шт: 7.18 руб.
от 135 шт: 5.75 руб.
от 675 шт: 4.79 руб.";;;
1;;Линейный стабилизатор LM1117T-3.3;"от 1 шт: 65.43 руб.
от 15 шт: 52.35 руб.
от 45 шт: 47.98 руб.";;;
1;;Датчик углекислого газа MH-Z14;1830;;;
1;;Дисплей NEXTION 2.8';852;;;
1;;Вилка на плату PLS-40;"1: 8.93
200: 5.58
400: 4.91";;;
2;;Micro Sd Card;116;;;
1;;Динамик 3Вт, 8 Ом;"1: 193.21
10: 173.89
20: 163.48";;;
1;;Датчик угарного газа ZE07-CO;1250;;;
1;;Блок питания 5В, 2А;140;;;
1;;Корпус;;;;
1;;Гнездо питания на панель DJK-04A;"100
от 100 шт. — 85 руб.";;;
2;;Гнездо на плату 2мм 1х10 прямое PBS2-10 ;"55
от 400 шт. — 40 руб.
от 2000 шт. — 8.32 руб. (3 дня)";;;
3;;Гнездо на кабель BLS-1x04;"1: 3.73
100: 2.49
500: 1.66";;;
1;;Гнездо на кабель BLS-1x06;"1: 4.37
100: 2.91
500: 1.94";;;
